Name,Party,State,District,Year,Incumbent,Winner,Raised,Spent,Cash on Hand,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Patricia Timmons-Goodson,D,NC,08,2020,False,False,3855743,3852668,3075,1821395,1626815,335837,0,71696,1414187,1500,0
Dan Bishop,R,NC,09,2020,True,True,4090260,4029864,60396,795894,2299321,763922,0,231123,1896259,20860,57295
Cynthia Wallace,D,NC,09,2020,False,False,811609,794300,17310,225984,457857,110744,1595,15429,155848,500,0
Patrick McHenry,R,NC,10,2020,True,True,2780234,2339363,1706970,9653,479215,1679650,0,611716,888635,9450,17850
David Parker,D,NC,10,2020,False,False,30555,30555,0,11178,16467,3009,247,-348,16467,0,0
Madison Cawthorn,R,NC,11,2020,False,True,4478970,4366783,112186,2503461,1518261,221500,203324,32424,633698,32100,19680
Moe Davis,D,NC,11,2020,False,False,2251413,2148121,103292,1002941,1194226,68012,5000,-18766,1002057,10869,29634
Alma Adams,D,NC,12,2020,True,True,824124,651883,346673,34475,202381,600165,0,-12897,131416,2000,0
Bill Brewster,R,NC,12,2020,False,False,21950,16763,5187,100,750,0,21100,0,250,500,0
Ted Budd,R,NC,13,2020,True,True,2294174,1293414,1070999,409520,964015,813725,0,106914,814616,7710,4585
Scott Huffman,D,NC,13,2020,False,False,193334,189967,4634,92892,82442,3800,2629,11570,76687,1086,0
Kelly Armstrong,R,ND,01,2020,True,True,1269346,1080105,305708,64658,376399,737523,0,90765,431596,3500,36258
Zach Raknerud,D,ND,01,2020,False,False,28047,26029,2285,14580,9400,2500,0,1567,16719,250,0
Steve Chabot,R,OH,01,2020,True,True,3177647,2861464,34508,287717,1641755,1216000,0,32176,1149560,22100,46000
Kate Schroder,D,OH,01,2020,False,False,4040303,4039798,505,643874,2728890,417609,0,249931,2100371,8650,4400
Kevin Kahn,L,OH,01,2020,False,False,12085,8398,3687,2601,3618,0,5866,0,1013,2602,0
Brad Wenstrup,R,OH,02,2020,True,True,1794354,1757078,461246,196180,578895,774217,0,245062,714092,2900,89601
Jaime Castle,D,OH,02,2020,False,False,284197,271471,12726,122749,158941,2500,0,7,153391,750,250
Joyce Beatty,D,OH,03,2020,True,True,2237887,2540687,961442,69145,622618,1545211,0,913,255429,0,1300
Nicholas Moss,I,OH,03,2020,False,False,1258,1248,0,0,0,0,1138,121,0,0,0
Jim Jordan,R,OH,04,2020,True,True,18313823,12945651,6113812,12122206,6351144,142548,0,-302076,9782776,110605,61080
Chris Gibbs,I,OH,04,2020,False,False,65807,65807,0,15708,19228,5500,25371,0,17978,1000,250
Bob Latta,R,OH,05,2020,True,True,1580952,1477090,719464,83385,509433,987333,0,801,489442,2750,3425
Nick Rubando,D,OH,05,2020,False,False,249319,247423,1996,80040,162921,12363,300,-6305,77292,0,2000
Bill Johnson,R,OH,06,2020,True,True,1866123,1853361,858830,43812,655971,1055725,0,110615,694664,0,57350
Shawna Roberts,D,OH,06,2020,False,False,262,574,2128,262,0,0,0,0,0,0,0
Bob Gibbs,R,OH,07,2020,True,True,791888,453928,491574,18408,189399,584081,0,0,194231,1800,0
Quentin Potter,D,OH,07,2020,False,False,12976,12976,0,4962,3710,1070,2050,1183,2460,0,0
Brandon Lape,L,OH,07,2020,False,False,3348,2713,635,898,250,0,2200,0,250,0,0
Warren Davidson,R,OH,08,2020,True,True,1016740,841533,404715,63893,359478,574955,0,18414,418020,5500,23100
Vanessa Enoch,D,OH,08,2020,False,False,40270,37546,12877,15147,23779,13,215,1116,8512,0,1020
Marcy Kaptur,D,OH,09,2020,True,True,1090395,979798,772396,19242,288708,787945,0,-5500,238105,1800,3050
Rob Weber,R,OH,09,2020,False,False,134898,123262,11636,17423,40675,1800,75000,0,40675,0,0
Michael R Turner,R,OH,10,2020,True,True,1752255,1736283,77206,94974,764419,683550,0,209311,835122,2800,15800
Desiree Tims,D,OH,10,2020,False,False,2040760,2024010,16750,611698,1119169,266251,0,43642,1153891,25450,41692
Marcia Fudge,D,OH,11,2020,True,True,755787,499820,1179553,35743,106278,613617,0,149,109503,1050,12475
Laverne Gore,R,OH,11,2020,False,False,157044,156827,218,69864,79975,0,7500,-295,80275,1050,0
Troy Balderson,R,OH,12,2020,True,True,2016826,1995665,43050,76100,774062,1019712,0,146952,805659,5300,500
Alaina Shearer,D,OH,12,2020,False,False,1033711,1025410,8301,296626,728137,10660,0,-1712,422990,3750,22951
John Stewart,L,OH,12,2020,False,False,75170,66382,-9960,175,0,0,74995,0,0,0,0
Tim Ryan,D,OH,13,2020,True,True,1972446,2071454,19187,183470,935931,853712,0,-667,1004525,12600,7100
Christina Hagan,R,OH,13,2020,False,False,861723,820660,41393,143250,665930,62043,250,-9750,370339,1120,250
David P Joyce,R,OH,14,2020,True,True,2917696,2501449,666492,81917,1016690,1277906,0,541183,1109299,24860,12010
Hillary O'Connor Mueri,D,OH,14,2020,False,False,579877,574646,5231,154997,385996,32100,6785,0,174969,5790,17500
Steve Stivers,R,OH,15,2020,True,True,3004799,2293101,1121863,44396,1000452,1922100,0,37852,890526,4800,500
Joel Newby,D,OH,15,2020,False,False,55797,55797,0,37012,13640,4760,304,82,11590,100,0
Anthony Gonzalez,R,OH,16,2020,True,True,2338195,1839807,564935,66482,912702,1255077,0,103934,1048995,6300,6750
Aaron Godfrey,D,OH,16,2020,False,False,60294,60430,476,24607,28723,6865,0,100,44546,1050,0
James M Inhofe,R,OK,S2,2020,True,True,5903909,5700850,323565,401620,2751858,2414143,0,336289,2320988,10130,13450
Abby Broyles,D,OK,S2,2020,False,False,2072067,2045470,39996,770835,1231017,83000,0,-12785,887614,9222,7400
